YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2012-07-24,5112.0,5152.95,5107.25,5135.0
2012-07-25,5124.65,5126.0,5078.25,5114.0
2012-07-26,5124.0,5124.0,5034.1,5042.95
2012-07-27,5144.45,5179.75,5095.5,5131.45
2012-07-30,5157.0,5224.0,5150.25,5214.0
2012-07-31,5242.65,5247.0,5168.0,5239.8
2012-08-01,5239.0,5266.8,5229.0,5253.9
2012-08-02,5248.0,5252.85,5222.1,5252.5
2012-08-03,5100.0,5246.75,5100.0,5242.0
2012-08-06,5287.15,5309.9,5278.1,5291.0
2012-08-07,5301.0,5366.8,5295.05,5346.0
2012-08-08,5355.05,5393.55,5345.5,5357.05
2012-08-09,5365.0,5384.0,5332.0,5358.0
2012-08-10,5341.0,5359.9,5320.1,5350.0
2012-08-13,5338.0,5377.7,5326.85,5370.0
2012-08-14,5369.9,5416.9,5355.55,5406.0
2012-08-16,5408.0,5410.0,5376.2,5382.8
2012-08-17,5385.05,5423.6,5351.55,5384.0
2012-08-21,5385.0,5447.05,5373.05,5441.95
2012-08-22,5405.65,5454.75,5405.65,5436.0
2012-08-23,5444.0,5462.95,5403.15,5431.0
2012-08-24,5412.0,5414.0,5381.05,5406.3
2012-08-27,5403.25,5406.45,5358.1,5363.0
2012-08-28,5361.65,5365.5,5320.95,5339.9
2012-08-29,5350.0,5350.0,5292.5,5294.95
2012-08-30,5280.0,5319.0,5258.7,5315.9
2012-08-31,5321.0,5328.0,5268.95,5288.0
2012-09-03,5301.2,5324.3,5272.3,5274.7
2012-09-04,5283.5,5304.8,5258.65,5302.75
2012-09-05,5275.0,5279.95,5240.9,5251.55
2012-09-06,5238.0,5285.9,5237.0,5265.35
2012-09-07,5329.95,5362.75,5326.0,5361.9
2012-09-08,5369.0,5389.6,5362.05,5380.2
2012-09-10,5383.7,5386.7,5358.5,5369.25
2012-09-11,5359.7,5409.0,5335.0,5406.0
2012-09-12,5423.2,5452.9,5402.45,5452.2
2012-09-13,5450.0,5454.95,5435.35,5448.0
2012-09-14,5530.05,5597.7,5530.05,5577.0
2012-09-17,5670.1,5670.1,5593.5,5613.0
2012-09-18,5614.0,5631.65,5601.2,5612.4
2012-09-20,5552.0,5594.6,5551.25,5560.95
2012-09-21,5583.85,5735.55,5583.85,5710.45
2012-09-24,5728.9,5728.9,5675.5,5683.6
2012-09-25,5688.95,5708.85,5661.9,5685.0
2012-09-26,5663.9,5678.25,5643.6,5666.25
2012-09-27,5700.0,5700.0,5644.0,5650.0
2012-09-28,5714.9,5766.05,5711.0,5723.95
2012-10-01,5725.6,5759.0,5718.0,5758.75
2012-10-03,5763.7,5773.0,5741.75,5771.45
2012-10-04,5785.0,5842.0,5780.0,5830.0
2012-10-05,5855.6,5855.6,5732.4,5774.9
2012-10-08,5765.0,5775.0,5694.25,5697.8
2012-10-09,5732.0,5756.75,5696.8,5722.25
2012-10-10,5692.3,5710.75,5666.9,5674.55
2012-10-11,5669.0,5749.0,5656.3,5745.05
2012-10-12,5717.9,5742.7,5678.0,5688.0
2012-10-15,5687.0,5715.0,5664.4,5702.2
2012-10-16,5725.0,5732.0,5637.4,5651.0
2012-10-17,5686.15,5694.85,5645.55,5664.75
2012-10-18,5685.55,5743.95,5664.8,5734.8
2012-10-19,5717.0,5721.5,5665.0,5685.0
2012-10-22,5670.0,5730.55,5666.45,5722.5
2012-10-23,5715.0,5721.8,5683.4,5698.9
2012-10-25,5687.0,5717.95,5681.4,5706.0
2012-10-26,5711.1,5727.9,5673.45,5703.0
2012-10-29,5708.0,5729.85,5678.35,5706.5
2012-10-30,5694.8,5724.8,5619.15,5627.0
2012-10-31,5629.0,5651.8,5613.2,5643.0
2012-11-01,5637.7,5684.8,5628.9,5676.45
2012-11-02,5709.95,5747.95,5700.0,5741.0
2012-11-05,5759.95,5759.95,5710.95,5739.55
2012-11-06,5728.0,5774.8,5728.0,5773.0
2012-11-07,5760.05,5818.8,5742.5,5794.4
2012-11-08,5744.7,5776.8,5740.0,5767.0
2012-11-09,5756.2,5782.1,5702.6,5725.0
2012-11-12,5717.3,5733.0,5693.1,5714.25
2012-11-15,5655.0,5661.5,5620.0,5647.95
2012-11-16,5648.0,5664.0,5568.0,5571.15
2012-11-19,5588.0,5603.6,5561.55,5594.0
2012-11-20,5614.0,5616.65,5555.55,5584.0
2012-11-21,5590.1,5628.0,5569.7,5620.5
2012-11-22,5627.0,5657.65,5614.0,5639.9
2012-11-23,5647.3,5647.5,5597.2,5630.0
2012-11-26,5651.1,5654.9,5629.75,5640.15
2012-11-27,5658.0,5738.0,5656.5,5734.6
2012-11-29,5734.6,5837.8,5734.6,5826.3
2012-11-30,5891.1,5926.0,5868.05,5907.9
2012-12-03,5915.35,5933.0,5888.0,5916.0
2012-12-04,5901.0,5928.0,5892.0,5926.0
2012-12-05,5945.3,5958.85,5928.1,5949.0
2012-12-06,5953.0,5984.65,5870.1,5979.9
2012-12-07,5979.95,5979.95,5921.75,5930.85
2012-12-10,5944.0,5955.0,5923.8,5937.25
2012-12-11,5957.35,6002.85,5897.55,5930.1
2012-12-12,5940.55,5963.2,5915.65,5924.0
2012-12-13,5937.45,5939.0,5865.35,5878.5
2012-12-14,5884.95,5922.8,5871.9,5918.9
2012-12-17,5902.7,5907.7,5881.1,5888.95
2012-12-18,5904.0,5950.0,5838.05,5930.9
2012-12-19,5951.1,5961.4,5935.1,5940.05
2012-12-20,5940.05,5949.7,5895.05,5922.9
2012-12-21,5900.0,5905.0,5847.4,5851.2
2012-12-24,5871.35,5877.55,5853.5,5866.8
2012-12-26,5871.0,5926.45,5864.5,5915.25
2012-12-27,5925.6,5931.55,5867.6,5870.5
2012-12-28,5932.5,5960.0,5930.0,5954.3
2012-12-31,5979.0,5979.0,5942.25,5950.0
2013-01-01,5958.0,6017.45,5958.0,6007.0
2013-01-02,6007.5,6049.9,6007.5,6033.95
2013-01-03,6058.15,6058.15,6026.6,6037.55
2013-01-04,6031.05,6052.5,6012.5,6047.0
2013-01-07,6052.5,6059.0,6013.65,6016.05
2013-01-08,6015.05,6050.4,5993.0,6041.7
2013-01-09,6040.0,6048.6,5981.35,6002.0
2013-01-10,6018.0,6034.0,5983.75,5994.3
2013-01-11,6027.25,6038.0,5969.15,5973.5
2013-01-14,5988.0,6067.25,5985.1,6065.0
2013-01-15,6059.0,6096.0,6036.55,6084.0
2013-01-16,6069.4,6075.55,6011.1,6016.75
2013-01-17,6025.0,6072.45,6000.1,6052.0
